PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 4xx,Internal outlinks codes (4xx),No. of internal outlinks to 4xx,External outlinks to 4xx,External outlinks codes (4xx),No. of external outlinks to 4xx
22,https://createmy-qr.com/languages,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Supported Languages
types.languages Генератор QR-кодов — бесплатный и настраиваемый | CreateMy-QR
Поддерживаемые языки | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/id/bahasa-yang-didukung,"Generator QR Code Gratis Online - CreateMy-QR (No Signup) | Bahasa yang Didukung
types.languages Pembuat Kode QR - Gratis & Khusus | CreateMy-QR
Bahasa yang Didukung | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/ja/sapotosareteiruyan-yu,"無料QRコード作成・ジェネレーター - CreateMy-QR (No Signup) | サポートされている言語
types.languages QR コード ジェネレーター - 無料 & カスタム | CreateMy-QR
サポートされている言語 | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/fi/tuetut-kielet,"Ilmainen QR-koodigeneraattori Netissä - CreateMy-QR (No Signup) | Tuetut kielet
types.languages QR-koodigeneraattori - ilmainen ja räätälöity | CreateMy-QR
Tuetut kielet | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/hi/smrthit-bhaassaaen,"मुफ़्त ऑनलाइन क्यूआर कोड जनरेटर - CreateMy-QR (No Signup) | समर्थित भाषाएँ
types.languages QR कोड जेनरेटर - मुफ़्त और कस्टम | CreateMy-QR
समर्थित भाषाएँ | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
21,https://createmy-qr.com/zh/zhi-chi-de-yu-yan,"免费在线二维码生成器 - CreateMy-QR (No Signup) | 支持的语言
types.languages QR 代码生成器 - 免费和自定义 | CreateMy-QR
支持的语言 | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,https://createmy-qr.com/en,404,1,,,0
